지진 탐지 일시	진앙지역명	매그니튜드(규모)	최대 진도	발표 일시	위도	경도
2024/01/04 00:12	이시카와 현 노토 지방	4.0	2	2024/01/04 00:15	37.4	136.9
2024/01/04 00:06	노토 반도	2.5	1	2024/01/04 00:09	37.1	136.7
2024/01/03 23:33	이시카와 현 노토 지방	4.2	3	2024/01/03 23:36	37.3	137.0
2024/01/03 23:27	노토 반도	2.4	2	2024/01/03 23:30	37.5	136.8
2024/01/03 22:33	노토 반도	3.2	1	2024/01/03 22:36	37.5	137.1
2024/01/03 22:26	이시카와 현 노토 지방	3.4	3	2024/01/03 22:30	37.5	137.3
2024/01/03 22:09	사도 부근	4.0	1	2024/01/03 22:13	37.7	137.9
2024/01/03 22:07	이시카와 현 노토 지방	3.2	1	2024/01/03 22:11	37.3	136.8
2024/01/03 22:05	이시카와 현 노토 지방	2.3	2	2024/01/03 22:08	37.4	136.9
2024/01/03 21:50	이시카와 현 노토 지방	3.4	2	2024/01/03 21:52	37.4	136.9
2024/01/03 21:42	이시카와 현 노토 지방	3.2	2	2024/01/03 21:45	37.2	136.7
2024/01/03 21:32	이시카와 현 노토 지방	3.0	1	2024/01/03 21:35	37.3	136.9
2024/01/03 21:31	노토 반도	2.8	1	2024/01/03 21:33	37.1	136.7
2024/01/03 21:28	이시카와 현 노토 지방	3.8	1	2024/01/03 21:31	37.5	137.3
2024/01/03 21:23	이시카와 현 노토 지방	2.6	1	2024/01/03 21:27	37.4	137.2
2024/01/03 21:12	이시카와 현 노토 지방	2.8	1	2024/01/03 21:15	37.2	136.7
2024/01/03 21:04	이시카와 현 노토 지방	2.0	1	2024/01/03 21:07	37.4	136.9
2024/01/03 20:55	노토 반도	3.6	3	2024/01/03 20:57	37.1	136.6
2024/01/03 20:48	이시카와 현 노토 지방	3.8	3	2024/01/03 20:52	37.4	137.2
2024/01/03 20:45	사도 부근	3.2	2	2024/01/03 20:49	37.7	137.6
2024/01/03 20:07	이시카와 현 노토 지방	2.7	1	2024/01/03 20:09	37.2	136.7
2024/01/03 19:49	니가타 현상 주에쓰 오키	4.1	2	2024/01/03 19:52	37.6	137.5
2024/01/03 19:42	이시카와 현 노토 지방	4.0	3	2024/01/03 19:45	37.2	136.7
2024/01/03 19:39	노토 반도	3.1	1	2024/01/03 19:41	37.3	136.7
2024/01/03 19:34	이시카와 현 노토 지방	3.6	2	2024/01/03 19:37	37.2	136.7
2024/01/03 19:14	이시카와 현 노토 지방	2.7	1	2024/01/03 19:17	37.2	136.9
2024/01/03 19:07	이시카와 현 노토 지방	3.7	2	2024/01/03 19:10	37.5	137.2
2024/01/03 19:01	노토 반도	3.7	2	2024/01/03 19:03	37.2	136.6
2024/01/03 18:57	이시카와 현 노토 지방	2.2	1	2024/01/03 19:00	37.3	136.8
2024/01/03 18:48	이시카와 현 노토 지방	4.8	4	2024/01/03 18:52	37.3	136.8
2024/01/03 18:40	이시카와 현 노토 지방	2.7	1	2024/01/03 18:43	37.2	136.7
2024/01/03 18:18	노토 반도	2.9	1	2024/01/03 18:21	37.1	136.7
2024/01/03 18:08	노토 반도	3.2	1	2024/01/03 18:10	37.1	136.6
2024/01/03 17:57	노토 반도	2.6	1	2024/01/03 18:00	37.1	136.6
2024/01/03 17:54	이시카와 현 노토 지방	3.4	2	2024/01/03 17:57	37.2	136.7
2024/01/03 17:51	이시카와 현 노토 지방	3.1	3	2024/01/03 17:54	37.2	136.7
2024/01/03 17:38	이시카와 현 노토 지방	2.5	1	2024/01/03 17:41	37.2	136.7
2024/01/03 17:32	노토 반도	2.6	1	2024/01/03 17:35	37.2	136.6
2024/01/03 17:22	이시카와 현 노토 지방	3.3	3	2024/01/03 17:26	37.2	136.7
2024/01/03 17:20	이시카와 현 노토 지방	3.4	2	2024/01/03 17:23	37.2	136.7
2024/01/03 17:15	사도 부근	4.0	1	2024/01/03 17:18	37.7	137.6
2024/01/03 17:14	이시카와 현 노토 지방	3.0	1	2024/01/03 17:17	37.4	137.0
2024/01/03 17:02	니가타 현상 주에쓰 오키	2.8	1	2024/01/03 17:05	37.6	137.6
2024/01/03 16:38	이시카와 현 노토 지방	2.2	1	2024/01/03 16:41	37.4	136.9
2024/01/03 16:32	노토 반도	2.7	1	2024/01/03 16:35	37.5	137.0
2024/01/03 16:24	이시카와 현 노토 지방	3.1	1	2024/01/03 16:27	37.2	136.8
2024/01/03 16:08	이시카와 현 노토 지방	4.2	3	2024/01/03 16:11	37.4	136.9
2024/01/03 15:52	노토 반도	3.0	1	2024/01/03 15:55	37.4	136.8
2024/01/03 15:44	노토 반도	3.5	3	2024/01/03 15:47	37.4	136.8
2024/01/03 15:30	이시카와 현 노토 지방	2.8	1	2024/01/03 15:33	37.4	137.0
2024/01/03 15:17	이시카와 현 노토 지방	3.4	1	2024/01/03 15:20	37.5	137.3
2024/01/03 15:11	이시카와 현 노토 지방	2.3	1	2024/01/03 15:14	37.2	136.7
2024/01/03 14:55	노토 반도	3.3	2	2024/01/03 14:58	37.1	136.6
2024/01/03 14:51	이시카와 현 노토 지방	3.0	2	2024/01/03 14:53	37.4	136.9
2024/01/03 14:31	이시카와 현 노토 지방	2.4	1	2024/01/03 14:34	37.1	136.8
2024/01/03 14:04	노토 반도	3.2	1	2024/01/03 14:07	37.6	137.4
2024/01/03 14:00	이시카와 현 노토 지방	2.4	1	2024/01/03 14:03	37.2	136.7
2024/01/03 13:44	노토 반도	4.1	1	2024/01/03 13:48	37.6	137.4
2024/01/03 13:40	노토 반도	3.0	1	2024/01/03 13:43	37.2	136.6
2024/01/03 13:39	이시카와 현 노토 지방	3.2	1	2024/01/03 13:42	37.4	136.9
2024/01/03 13:26	노토 반도	3.2	2	2024/01/03 13:29	37.1	136.7
2024/01/03 13:22	이시카와 현 노토 지방	2.6	1	2024/01/03 13:24	37.4	136.9
2024/01/03 13:04	사도 부근	4.1	1	2024/01/03 13:07	37.7	137.5
2024/01/03 12:54	니가타 현상 주에쓰 오키	4.9	4	2024/01/03 12:58	37.6	137.6
2024/01/03 12:48	사도 부근	4.1	1	2024/01/03 12:51	37.8	138.1
2024/01/03 12:37	노토 반도	4.2	3	2024/01/03 12:40	37.2	136.6
2024/01/03 12:28	이시카와 현 노토 지방	3.2	1	2024/01/03 12:31	37.2	136.7
2024/01/03 12:10	노토 반도	2.4	1	2024/01/03 12:13	37.7	137.3
2024/01/03 12:02	이시카와 현 서방 바다	3.3	1	2024/01/03 12:06	37.1	136.5
2024/01/03 11:57	이시카와 현 노토 지방	3.7	2	2024/01/03 12:00	37.4	137.1
2024/01/03 11:48	이시카와 현 노토 지방	4.2	3	2024/01/03 11:51	37.5	137.2
2024/01/03 11:36	이시카와 현 노토 지방	3.0	1	2024/01/03 11:39	37.3	137.0
2024/01/03 11:13	이시카와 현 노토 지방	2.6	1	2024/01/03 11:16	37.4	137.0
2024/01/03 10:58	이시카와 현 노토 지방	2.6	2	2024/01/03 11:02	37.4	137.0
2024/01/03 10:54	이시카와 현 노토 지방	5.5	5+	2024/01/03 10:57	37.4	136.9
2024/01/03 10:36	사도 부근	4.0	1	2024/01/03 10:38	37.9	137.9
2024/01/03 10:24	이시카와 현 노토 지방	3.4	1	2024/01/03 10:27	37.4	137.0
2024/01/03 10:00	노토 반도	2.8	1	2024/01/03 10:03	37.1	136.7
2024/01/03 09:58	이시카와 현 서방 바다	3.3	2	2024/01/03 10:01	37.2	136.4
2024/01/03 09:28	이시카와 현 노토 지방	2.1	1	2024/01/03 09:30	37.4	136.9
2024/01/03 09:22	이시카와 현 노토 지방	3.2	1	2024/01/03 09:24	37.4	137.0
2024/01/03 09:16	이시카와 현 노토 지방	2.7	1	2024/01/03 09:20	37.1	136.8
2024/01/03 09:07	이시카와 현 노토 지방	2.8	3	2024/01/03 09:10	37.2	136.7
2024/01/03 09:04	노토 반도	2.1	1	2024/01/03 09:07	37.1	136.7
2024/01/03 08:45	노토 반도	2.8	1	2024/01/03 08:48	37.1	136.7
2024/01/03 08:41	이시카와 현 노토 지방	2.9	1	2024/01/03 08:44	37.2	136.7
2024/01/03 08:34	이시카와 현 노토 지방	4.0	3	2024/01/03 08:37	37.4	137.0
2024/01/03 08:14	노토 반도	2.3	2	2024/01/03 08:17	37.4	136.8
2024/01/03 08:09	사도 부근	3.3	1	2024/01/03 08:12	37.7	137.6
2024/01/03 07:57	이시카와 현 노토 지방	2.9	1	2024/01/03 08:00	37.2	136.7
2024/01/03 07:51	이시카와 현 서방 바다	4.0	2	2024/01/03 07:54	37.1	136.5
2024/01/03 07:19	노토 반도	2.5	1	2024/01/03 07:23	37.1	136.7
2024/01/03 06:53	이시카와 현 노토 지방	3.1	2	2024/01/03 06:56	37.2	136.7
2024/01/03 06:52	도카라 열도 근해	2.2	1	2024/01/03 06:56	29.8	130.0
2024/01/03 06:49	도야마 만	2.8	1	2024/01/03 06:52	37.2	137.1
2024/01/03 06:45	이시카와 현 노토 지방	3.0	1	2024/01/03 06:48	37.2	136.8
2024/01/03 06:32	이시카와 현 노토 지방	4.5	4	2024/01/03 06:36	37.2	136.8
2024/01/03 06:19	이시카와 현 노토 지방	2.5	2	2024/01/03 06:22	37.1	136.8
2024/01/03 05:54	사도 부근	4.2	1	2024/01/03 05:57	37.8	137.7
2024/01/03 05:49	이시카와 현 노토 지방	2.8	1	2024/01/03 05:52	37.2	136.7
2024/01/03 05:47	니가타 현상 주에쓰 오키	3.5	2	2024/01/03 05:50	37.6	137.5
2024/01/03 05:36	이시카와 현 노토 지방	3.5	2	2024/01/03 05:39	37.2	136.7
2024/01/03 05:30	이시카와 현 노토 지방	2.4	2	2024/01/03 05:33	37.2	136.7
2024/01/03 05:23	이시카와 현 노토 지방	2.9	1	2024/01/03 05:26	37.2	136.7
2024/01/03 05:20	이시카와 현 노토 지방	2.9	1	2024/01/03 05:23	37.2	136.7
2024/01/03 04:59	이시카와 현 노토 지방	2.1	1	2024/01/03 05:01	37.4	136.9
2024/01/03 04:56	이시카와 현 노토 지방	3.4	1	2024/01/03 04:59	37.3	137.0
2024/01/03 04:50	이시카와 현 노토 지방	3.3	2	2024/01/03 04:52	37.2	136.7
2024/01/03 04:44	노토 반도	2.0	1	2024/01/03 04:47	37.1	136.7
2024/01/03 04:39	이시카와 현 노토 지방	2.9	1	2024/01/03 04:42	37.3	136.8
2024/01/03 04:31	노토 반도	2.9	1	2024/01/03 04:34	37.6	137.4
2024/01/03 04:26	이시카와 현 노토 지방	2.2	1	2024/01/03 04:28	37.4	136.9
2024/01/03 04:17	노토 반도	2.4	2	2024/01/03 04:20	37.1	136.7
2024/01/03 04:01	이시카와 현 노토 지방	2.7	2	2024/01/03 04:03	37.2	136.7
2024/01/03 03:51	이시카와 현 노토 지방	2.0	1	2024/01/03 03:54	37.4	136.9
2024/01/03 03:48	이시카와 현 노토 지방	3.0	1	2024/01/03 03:51	37.3	136.8
2024/01/03 03:45	이시카와 현 노토 지방	3.9	3	2024/01/03 03:47	37.3	136.8
2024/01/03 03:42	이시카와 현 노토 지방	2.5	1	2024/01/03 03:45	36.9	136.8
2024/01/03 03:22	노토 반도	2.7	1	2024/01/03 03:25	37.2	136.6
2024/01/03 03:18	이시카와 현 노토 지방	3.3	2	2024/01/03 03:20	37.4	136.9
2024/01/03 03:00	이시카와 현 노토 지방	3.2	2	2024/01/03 03:03	37.5	137.3
2024/01/03 02:54	이시카와 현 노토 지방	3.9	2	2024/01/03 02:57	37.4	137.1
2024/01/03 02:51	노토 반도	3.5	1	2024/01/03 02:54	37.6	137.0
2024/01/03 02:49	이시카와 현 노토 지방	3.3	1	2024/01/03 02:51	37.4	137.2
2024/01/03 02:43	이시카와 현 노토 지방	2.8	1	2024/01/03 02:46	37.2	136.7
2024/01/03 02:30	이시카와 현 노토 지방	4.4	4	2024/01/03 02:34	37.5	137.3
2024/01/03 02:26	이시카와 현 노토 지방	2.6	2	2024/01/03 02:29	37.1	136.8
2024/01/03 02:21	이시카와 현 노토 지방	5.0	5+	2024/01/03 02:25	37.5	137.3
2024/01/03 01:25	이시카와 현 노토 지방	2.6	2	2024/01/03 01:28	37.2	136.7
2024/01/03 01:21	노토 반도	3.2	3	2024/01/03 01:24	37.2	136.6
2024/01/03 01:16	노토 반도	2.6	1	2024/01/03 01:19	37.1	136.7
2024/01/03 01:13	이시카와 현 노토 지방	3.1	2	2024/01/03 01:16	37.2	136.7
2024/01/03 01:08	사도 부근	3.3	1	2024/01/03 01:12	37.8	137.7
2024/01/03 01:01	노토 반도	3.1	1	2024/01/03 01:04	37.6	137.4
2024/01/03 00:29	지바 현 북서부	3.2	1	2024/01/03 00:32	35.7	140.0
2024/01/03 00:24	이시카와 현 노토 지방	3.2	2	2024/01/03 00:26	37.2	136.7
2024/01/03 00:17	노토 반도	2.5	1	2024/01/03 00:20	37.4	136.8
2024/01/03 00:13	노토 반도	2.8	2	2024/01/03 00:16	37.4	136.8
2024/01/03 00:08	이시카와 현 노토 지방	2.7	2	2024/01/03 00:11	37.1	136.8
2024/01/02 23:53	이시카와 현 노토 지방	2.5	1	2024/01/02 23:55	37.2	136.7
2024/01/02 23:51	이시카와 현 노토 지방	3.0	1	2024/01/02 23:53	37.2	136.7
2024/01/02 23:48	노토 반도	2.4	1	2024/01/02 23:51	37.1	136.6
2024/01/02 23:38	이시카와 현 노토 지방	3.5	1	2024/01/02 23:41	37.4	137.1
2024/01/02 23:33	노토 반도	2.7	1	2024/01/02 23:36	37.1	136.7
2024/01/02 23:30	이시카와 현 노토 지방	3.0	1	2024/01/02 23:33	37.3	137.2
2024/01/02 23:16	노토 반도	3.6	2	2024/01/02 23:20	37.6	137.0
2024/01/02 23:12	노토 반도	2.9	1	2024/01/02 23:15	37.4	136.8
2024/01/02 22:50	이시카와 현 노토 지방	3.0	2	2024/01/02 22:53	37.4	137.0
2024/01/02 22:31	노토 반도	2.8	1	2024/01/02 22:34	37.1	136.7
2024/01/02 22:26	노토 반도	2.4	1	2024/01/02 22:29	37.1	136.7
2024/01/02 22:19	이시카와 현 노토 지방	3.3	3	2024/01/02 22:23	37.2	136.7
2024/01/02 22:04	이시카와 현 노토 지방	3.1	3	2024/01/02 22:07	37.2	136.8
2024/01/02 22:03	이시카와 현 노토 지방	3.6	2	2024/01/02 22:05	37.3	136.8
2024/01/02 21:45	이시카와 현 노토 지방	2.6	1	2024/01/02 21:47	37.2	136.7
2024/01/02 21:42	니가타 현상 주에쓰 오키	3.2	1	2024/01/02 21:45	37.6	137.5
2024/01/02 21:16	노토 반도	2.6	1	2024/01/02 21:19	37.3	136.6
2024/01/02 21:13	이시카와 현 노토 지방	4.3	3	2024/01/02 21:17	37.3	136.9
2024/01/02 21:11	이시카와 현 노토 지방	3.1	1	2024/01/02 21:13	37.2	136.8
2024/01/02 20:52	이시카와 현 노토 지방	3.7	2	2024/01/02 20:55	37.5	137.3
2024/01/02 20:42	노토 반도	2.8	1	2024/01/02 20:44	37.1	136.6
2024/01/02 20:30	이시카와 현 노토 지방	3.3	1	2024/01/02 20:33	37.4	137.1
2024/01/02 20:19	이시카와 현 노토 지방	2.8	1	2024/01/02 20:22	37.3	137.1
2024/01/02 20:16	노토 반도	3.7	2	2024/01/02 20:19	37.1	136.7
2024/01/02 20:13	이시카와 현 노토 지방	3.0	1	2024/01/02 20:15	37.3	136.8
2024/01/02 20:06	이시카와 현 노토 지방	3.0	1	2024/01/02 20:09	37.2	136.7
2024/01/02 20:04	노토 반도	3.7	1	2024/01/02 20:07	37.5	136.9
2024/01/02 19:48	이시카와 현 노토 지방	2.7	1	2024/01/02 19:51	37.2	136.9
2024/01/02 19:40	노토 반도	2.8	1	2024/01/02 19:43	37.2	136.6
2024/01/02 19:24	노토 반도	2.8	1	2024/01/02 19:28	37.6	137.4
2024/01/02 19:18	노토 반도	3.0	2	2024/01/02 19:20	37.4	136.8
2024/01/02 19:01	이시카와 현 노토 지방	2.7	1	2024/01/02 19:05	37.2	136.7
2024/01/02 18:59	노토 반도	3.5	2	2024/01/02 19:02	37.2	136.6
2024/01/02 18:50	사도 부근	4.1	2	2024/01/02 18:53	37.7	137.6
2024/01/02 18:46	이시카와 현 노토 지방	3.4	2	2024/01/02 18:49	37.4	137.1
2024/01/02 18:42	이시카와 현 노토 지방	1.9	1	2024/01/02 18:46	37.2	136.8
2024/01/02 18:38	노토 반도	3.0	1	2024/01/02 18:41	37.3	136.7
2024/01/02 18:29	이시카와 현 노토 지방	4.3	3	2024/01/02 18:33	37.5	137.3
2024/01/02 18:25	이시카와 현 노토 지방	3.2	1	2024/01/02 18:29	37.2	136.7
2024/01/02 18:20	이시가키 섬 근해	4.4	1	2024/01/02 18:23	24.8	124.3
2024/01/02 18:07	이시카와 현 노토 지방	2.9	2	2024/01/02 18:10	37.2	136.7
2024/01/02 18:07	와카야마 현 북부	3.1	1	2024/01/02 18:10	33.9	135.1
2024/01/02 18:03	노토 반도	2.4	1	2024/01/02 18:05	37.2	136.6
2024/01/02 17:59	이시카와 현 노토 지방	3.1	1	2024/01/02 18:02	37.4	137.1
2024/01/02 17:56	노토 반도	4.2	2	2024/01/02 17:59	37.3	136.7
2024/01/02 17:52	사도 부근	4.2	1	2024/01/02 17:55	37.7	137.7
2024/01/02 17:49	이시카와 현 노토 지방	2.6	1	2024/01/02 17:52	37.2	136.8
2024/01/02 17:47	노토 반도	2.6	1	2024/01/02 17:50	37.5	136.9
2024/01/02 17:41	노토 반도	2.7	1	2024/01/02 17:43	37.4	136.8
2024/01/02 17:23	이시카와 현 노토 지방	2.9	1	2024/01/02 17:26	37.3	136.8
2024/01/02 17:13	노토 반도	4.6	5+	2024/01/02 17:18	37.2	136.6
2024/01/02 17:06	이시카와 현 노토 지방	2.7	1	2024/01/02 17:10	37.3	136.8
2024/01/02 16:59	이시카와 현 노토 지방	2.7	1	2024/01/02 17:01	37.4	136.9
2024/01/02 16:54	사도 부근	3.8	1	2024/01/02 16:59	37.9	137.8
2024/01/02 16:49	노토 반도	2.9	2	2024/01/02 16:54	37.1	136.7
2024/01/02 16:44	사도 부근	2.9	2	2024/01/02 16:51	37.9	137.8
2024/01/02 16:24	이시카와 현 노토 지방	2.4	1	2024/01/02 16:27	37.2	136.7
2024/01/02 16:21	노토 반도	2.8	2	2024/01/02 16:25	37.1	136.7
2024/01/02 16:18	이시카와 현 노토 지방	2.4	1	2024/01/02 16:23	37.3	136.8
2024/01/02 16:13	노토 반도	2.9	1	2024/01/02 16:18	37.6	137.4
2024/01/02 16:11	이시카와 현 노토 지방	3.0	1	2024/01/02 16:15	37.2	136.7
2024/01/02 16:07	이시카와 현 노토 지방	3.1	1	2024/01/02 16:10	37.4	137.0
2024/01/02 16:01	이시카와 현 노토 지방	2.4	1	2024/01/02 16:05	37.2	136.8
2024/01/02 15:57	이시카와 현 노토 지방	4.5	4	2024/01/02 16:02	37.2	136.7
2024/01/02 15:51	이시카와 현 노토 지방	2.8	1	2024/01/02 15:56	37.4	136.9
2024/01/02 15:45	이시카와 현 노토 지방	2.4	1	2024/01/02 15:48	37.4	136.9
2024/01/02 15:39	노토 반도	2.9	1	2024/01/02 15:43	37.6	137.2
2024/01/02 15:35	노토 반도	3.1	3	2024/01/02 15:38	37.4	136.8
2024/01/02 15:19	이시카와 현 노토 지방	2.7	2	2024/01/02 15:24	37.5	137.2
2024/01/02 15:10	이시카와 현 노토 지방	2.4	1	2024/01/02 15:13	37.2	136.8
2024/01/02 15:05	이시카와 현 노토 지방	3.4	1	2024/01/02 15:09	37.3	136.9
2024/01/02 15:02	사도 부근	4.2	2	2024/01/02 15:07	37.8	137.8
2024/01/02 15:01	이시카와 현 노토 지방	3.4	3	2024/01/02 15:05	37.4	136.9
2024/01/02 14:58	이시카와 현 노토 지방	3.2	1	2024/01/02 15:01	37.2	136.8
2024/01/02 14:50	노토 반도	2.4	1	2024/01/02 14:53	37.2	136.6
2024/01/02 14:47	노토 반도	2.9	1	2024/01/02 14:49	37.4	136.8
2024/01/02 14:43	노토 반도	2.8	1	2024/01/02 14:47	37.1	136.7
2024/01/02 14:37	이시카와 현 노토 지방	3.6	1	2024/01/02 14:42	37.4	137.0
2024/01/02 14:09	이시카와 현 노토 지방	2.7	1	2024/01/02 14:12	37.2	136.8
2024/01/02 14:05	이시카와 현 노토 지방	2.7	2	2024/01/02 14:11	37.2	136.7
2024/01/02 14:04	사도 부근	3.5	1	2024/01/02 14:07	37.7	137.6
2024/01/02 14:02	노토 반도	4.3	3	2024/01/02 14:05	37.4	136.8
2024/01/02 13:54	노토 반도	3.1	2	2024/01/02 13:57	37.1	136.7
2024/01/02 13:50	이시카와 현 노토 지방	3.3	1	2024/01/02 13:52	37.2	136.7
2024/01/02 13:46	노토 반도	2.6	2	2024/01/02 13:49	37.4	136.7
2024/01/02 13:41	도야마 만	3.5	2	2024/01/02 13:47	37.4	137.3
2024/01/02 13:27	노토 반도	2.5	1	2024/01/02 13:30	37.4	136.8
2024/01/02 13:18	노토 반도	2.7	1	2024/01/02 13:24	37.2	136.6
2024/01/02 13:11	이시카와 현 노토 지방	2.5	1	2024/01/02 13:16	37.4	136.9
2024/01/02 13:08	이시카와 현 노토 지방	2.3	1	2024/01/02 13:13	37.2	136.7
2024/01/02 13:09	노토 반도	3.5	2	2024/01/02 13:11	37.5	137.1
2024/01/02 13:02	이시카와 현 노토 지방	3.0	1	2024/01/02 13:05	37.4	136.9
2024/01/02 12:56	이시카와 현 노토 지방	3.6	1	2024/01/02 12:58	37.3	136.8
2024/01/02 12:48	이시카와 현 노토 지방	3.2	1	2024/01/02 12:50	37.3	137.0
2024/01/02 12:37	이시카와 현 노토 지방	3.1	2	2024/01/02 12:39	37.5	137.3
2024/01/02 12:32	노토 반도	2.2	1	2024/01/02 12:36	37.4	136.8
2024/01/02 11:54	노토 반도	2.8	1	2024/01/02 11:58	37.1	136.7
2024/01/02 11:51	니가타 현상 주에쓰 오키	3.9	1	2024/01/02 11:54	37.6	137.7
2024/01/02 11:49	이시카와 현 노토 지방	2.9	1	2024/01/02 11:52	37.4	137.1
2024/01/02 11:42	노토 반도	3.7	2	2024/01/02 11:44	37.5	137.1
2024/01/02 11:38	니가타 현상 주에쓰 오키	3.2	1	2024/01/02 11:42	37.6	137.5
2024/01/02 11:34	이시카와 현 노토 지방	2.5	1	2024/01/02 11:38	37.2	136.7
2024/01/02 11:19	이시카와 현 서방 바다	4.1	3	2024/01/02 11:23	37.1	136.3
2024/01/02 11:16	이시카와 현 노토 지방	3.7	3	2024/01/02 11:19	37.5	137.2
2024/01/02 11:12	노토 반도	3.2	1	2024/01/02 11:15	37.4	136.8
2024/01/02 11:05	이시카와 현 노토 지방	4.1	3	2024/01/02 11:12	37.4	137.1
2024/01/02 11:04	이시카와 현 노토 지방	3.7	3	2024/01/02 11:09	37.2	136.7
2024/01/02 10:52	이시카와 현 노토 지방	2.9	1	2024/01/02 10:56	37.3	136.8
2024/01/02 10:33	노토 반도	2.9	1	2024/01/02 10:35	37.3	136.5
2024/01/02 10:28	이시카와 현 노토 지방	2.8	2	2024/01/02 10:32	37.2	136.7
2024/01/02 10:25	이시카와 현 노토 지방	3.0	1	2024/01/02 10:28	37.2	136.8
2024/01/02 10:17	이시카와 현 노토 지방	5.6	5-	2024/01/02 10:23	37.2	136.7
2024/01/02 09:14	이시카와 현 노토 지방	4.7	4	2024/01/02 09:17	37.4	137.2
2024/01/02 09:01	노토 반도	3.9	4	2024/01/02 09:04	37.4	136.8
2024/01/02 08:57	노토 반도	2.8	2	2024/01/02 09:00	37.1	136.7
2024/01/02 08:48	이시카와 현 노토 지방	2.9	2	2024/01/02 08:50	37.4	136.9
2024/01/02 08:42	이시카와 현 노토 지방	3.9	2	2024/01/02 08:44	37.3	137.0
2024/01/02 08:35	이시카와 현 노토 지방	3.4	2	2024/01/02 08:38	37.2	136.7
2024/01/02 08:21	이시카와 현 노토 지방	3.6	2	2024/01/02 08:23	37.4	137.0
2024/01/02 08:15	사도 부근	3.6	3	2024/01/02 08:18	37.7	137.5
2024/01/02 08:00	이시카와 현 노토 지방	2.8	3	2024/01/02 08:04	37.4	137.0
2024/01/02 07:43	이시카와 현 노토 지방	3.2	2	2024/01/02 07:46	37.3	137.0
2024/01/02 07:40	노토 반도	3.5	2	2024/01/02 07:43	37.2	136.6
2024/01/02 07:37	이시카와 현 노토 지방	4.3	3	2024/01/02 07:40	37.5	137.3
2024/01/02 07:27	이시카와 현 노토 지방	4.3	3	2024/01/02 07:29	37.4	137.0
2024/01/02 07:13	이시카와 현 노토 지방	4.7	4	2024/01/02 07:16	37.3	136.9
2024/01/02 07:09	이시카와 현 노토 지방	3.6	3	2024/01/02 07:11	37.4	137.0
2024/01/02 06:53	니가타 현상 주에쓰 오키	4.2	2	2024/01/02 06:56	37.6	137.6
2024/01/02 06:47	이와테 현 바다	3.1	1	2024/01/02 06:53	39.6	142.1
2024/01/02 06:48	노토 반도	3.8	2	2024/01/02 06:51	37.5	137.0
2024/01/02 06:34	이시카와 현 노토 지방	4.2	3	2024/01/02 06:37	37.4	137.0
2024/01/02 06:30	이시카와 현 노토 지방	3.6	2	2024/01/02 06:33	37.3	136.8
2024/01/02 06:13	노토 반도	3.0	3	2024/01/02 06:15	37.4	136.8
