지진 탐지 일시	진앙지역명	매그니튜드(규모)	최대 진도	발표 일시
2024/01/03 17:54	이시카와 현 노토 지방	3.4	2	2024/01/03 17:57
2024/01/03 17:51	이시카와 현 노토 지방	3.1	3	2024/01/03 17:54
2024/01/03 17:38	이시카와 현 노토 지방	2.5	1	2024/01/03 17:41
2024/01/03 17:32	노토 반도	2.6	1	2024/01/03 17:35
2024/01/03 17:22	이시카와 현 노토 지방	3.3	3	2024/01/03 17:26
2024/01/03 17:20	이시카와 현 노토 지방	3.4	2	2024/01/03 17:23
2024/01/03 17:15	사도 부근	4.0	1	2024/01/03 17:18
2024/01/03 17:14	이시카와 현 노토 지방	3.0	1	2024/01/03 17:17
2024/01/03 17:02	니가타 현상 주에쓰 오키	2.8	1	2024/01/03 17:05
2024/01/03 16:38	이시카와 현 노토 지방	2.2	1	2024/01/03 16:41
2024/01/03 16:32	노토 반도	2.7	1	2024/01/03 16:35
2024/01/03 16:24	이시카와 현 노토 지방	3.1	1	2024/01/03 16:27
2024/01/03 16:08	이시카와 현 노토 지방	4.2	3	2024/01/03 16:11
2024/01/03 15:52	노토 반도	3.0	1	2024/01/03 15:55
2024/01/03 15:44	노토 반도	3.5	3	2024/01/03 15:47
2024/01/03 15:30	이시카와 현 노토 지방	2.8	1	2024/01/03 15:33
2024/01/03 15:17	이시카와 현 노토 지방	3.4	1	2024/01/03 15:20
2024/01/03 15:11	이시카와 현 노토 지방	2.3	1	2024/01/03 15:14
2024/01/03 14:55	노토 반도	3.3	2	2024/01/03 14:58
2024/01/03 14:51	이시카와 현 노토 지방	3.0	2	2024/01/03 14:53
2024/01/03 14:31	이시카와 현 노토 지방	2.4	1	2024/01/03 14:34
2024/01/03 14:04	노토 반도	3.2	1	2024/01/03 14:07
2024/01/03 14:00	이시카와 현 노토 지방	2.4	1	2024/01/03 14:03
2024/01/03 13:44	노토 반도	4.1	1	2024/01/03 13:48
2024/01/03 13:40	노토 반도	3.0	1	2024/01/03 13:43
2024/01/03 13:39	이시카와 현 노토 지방	3.2	1	2024/01/03 13:42
2024/01/03 13:26	노토 반도	3.2	2	2024/01/03 13:29
2024/01/03 13:22	이시카와 현 노토 지방	2.6	1	2024/01/03 13:24
2024/01/03 13:04	사도 부근	4.1	1	2024/01/03 13:07
2024/01/03 12:54	니가타 현상 주에쓰 오키	4.9	4	2024/01/03 12:58
2024/01/03 12:48	사도 부근	4.1	1	2024/01/03 12:51
2024/01/03 12:37	노토 반도	4.2	3	2024/01/03 12:40
2024/01/03 12:28	이시카와 현 노토 지방	3.2	1	2024/01/03 12:31
2024/01/03 12:10	노토 반도	2.4	1	2024/01/03 12:13
2024/01/03 12:02	이시카와 현 서방 바다	3.3	1	2024/01/03 12:06
2024/01/03 11:57	이시카와 현 노토 지방	3.7	2	2024/01/03 12:00
2024/01/03 11:48	이시카와 현 노토 지방	4.2	3	2024/01/03 11:51
2024/01/03 11:36	이시카와 현 노토 지방	3.0	1	2024/01/03 11:39
2024/01/03 11:13	이시카와 현 노토 지방	2.6	1	2024/01/03 11:16
2024/01/03 10:58	이시카와 현 노토 지방	2.6	2	2024/01/03 11:02
2024/01/03 10:54	이시카와 현 노토 지방	5.5	5+	2024/01/03 10:57
2024/01/03 10:36	사도 부근	4.0	1	2024/01/03 10:38
2024/01/03 10:24	이시카와 현 노토 지방	3.4	1	2024/01/03 10:27
2024/01/03 10:00	노토 반도	2.8	1	2024/01/03 10:03
2024/01/03 09:58	이시카와 현 서방 바다	3.3	2	2024/01/03 10:01
2024/01/03 09:28	이시카와 현 노토 지방	2.1	1	2024/01/03 09:30
2024/01/03 09:22	이시카와 현 노토 지방	3.2	1	2024/01/03 09:24
2024/01/03 09:16	이시카와 현 노토 지방	2.7	1	2024/01/03 09:20
2024/01/03 09:07	이시카와 현 노토 지방	2.8	3	2024/01/03 09:10
2024/01/03 09:04	노토 반도	2.1	1	2024/01/03 09:07
2024/01/03 08:45	노토 반도	2.8	1	2024/01/03 08:48
2024/01/03 08:41	이시카와 현 노토 지방	2.9	1	2024/01/03 08:44
2024/01/03 08:34	이시카와 현 노토 지방	4.0	3	2024/01/03 08:37
2024/01/03 08:14	노토 반도	2.3	2	2024/01/03 08:17
2024/01/03 08:09	사도 부근	3.3	1	2024/01/03 08:12
2024/01/03 07:57	이시카와 현 노토 지방	2.9	1	2024/01/03 08:00
2024/01/03 07:51	이시카와 현 서방 바다	4.0	2	2024/01/03 07:54
2024/01/03 07:19	노토 반도	2.5	1	2024/01/03 07:23
2024/01/03 06:53	이시카와 현 노토 지방	3.1	2	2024/01/03 06:56
2024/01/03 06:52	도카라 열도 근해	2.2	1	2024/01/03 06:56
2024/01/03 06:49	도야마 만	2.8	1	2024/01/03 06:52
2024/01/03 06:45	이시카와 현 노토 지방	3.0	1	2024/01/03 06:48
2024/01/03 06:32	이시카와 현 노토 지방	4.5	4	2024/01/03 06:36
2024/01/03 06:19	이시카와 현 노토 지방	2.5	2	2024/01/03 06:22
2024/01/03 05:54	사도 부근	4.2	1	2024/01/03 05:57
2024/01/03 05:49	이시카와 현 노토 지방	2.8	1	2024/01/03 05:52
2024/01/03 05:47	니가타 현상 주에쓰 오키	3.5	2	2024/01/03 05:50
2024/01/03 05:36	이시카와 현 노토 지방	3.5	2	2024/01/03 05:39
2024/01/03 05:30	이시카와 현 노토 지방	2.4	2	2024/01/03 05:33
2024/01/03 05:23	이시카와 현 노토 지방	2.9	1	2024/01/03 05:26
2024/01/03 05:20	이시카와 현 노토 지방	2.9	1	2024/01/03 05:23
2024/01/03 04:59	이시카와 현 노토 지방	2.1	1	2024/01/03 05:01
2024/01/03 04:56	이시카와 현 노토 지방	3.4	1	2024/01/03 04:59
2024/01/03 04:50	이시카와 현 노토 지방	3.3	2	2024/01/03 04:52
2024/01/03 04:44	노토 반도	2.0	1	2024/01/03 04:47
2024/01/03 04:39	이시카와 현 노토 지방	2.9	1	2024/01/03 04:42
2024/01/03 04:31	노토 반도	2.9	1	2024/01/03 04:34
2024/01/03 04:26	이시카와 현 노토 지방	2.2	1	2024/01/03 04:28
2024/01/03 04:17	노토 반도	2.4	2	2024/01/03 04:20
2024/01/03 04:01	이시카와 현 노토 지방	2.7	2	2024/01/03 04:03
2024/01/03 03:51	이시카와 현 노토 지방	2.0	1	2024/01/03 03:54
2024/01/03 03:48	이시카와 현 노토 지방	3.0	1	2024/01/03 03:51
2024/01/03 03:45	이시카와 현 노토 지방	3.9	3	2024/01/03 03:47
2024/01/03 03:42	이시카와 현 노토 지방	2.5	1	2024/01/03 03:45
2024/01/03 03:22	노토 반도	2.7	1	2024/01/03 03:25
2024/01/03 03:18	이시카와 현 노토 지방	3.3	2	2024/01/03 03:20
2024/01/03 03:00	이시카와 현 노토 지방	3.2	2	2024/01/03 03:03
2024/01/03 02:54	이시카와 현 노토 지방	3.9	2	2024/01/03 02:57
2024/01/03 02:51	노토 반도	3.5	1	2024/01/03 02:54
2024/01/03 02:49	이시카와 현 노토 지방	3.3	1	2024/01/03 02:51
2024/01/03 02:43	이시카와 현 노토 지방	2.8	1	2024/01/03 02:46
2024/01/03 02:30	이시카와 현 노토 지방	4.4	4	2024/01/03 02:34
2024/01/03 02:26	이시카와 현 노토 지방	2.6	2	2024/01/03 02:29
2024/01/03 02:21	이시카와 현 노토 지방	5.0	5+	2024/01/03 02:25
2024/01/03 01:25	이시카와 현 노토 지방	2.6	2	2024/01/03 01:28
2024/01/03 01:21	노토 반도	3.2	3	2024/01/03 01:24
2024/01/03 01:16	노토 반도	2.6	1	2024/01/03 01:19
2024/01/03 01:13	이시카와 현 노토 지방	3.1	2	2024/01/03 01:16
2024/01/03 01:08	사도 부근	3.3	1	2024/01/03 01:12
2024/01/03 01:01	노토 반도	3.1	1	2024/01/03 01:04
2024/01/03 00:29	지바 현 북서부	3.2	1	2024/01/03 00:32
2024/01/03 00:24	이시카와 현 노토 지방	3.2	2	2024/01/03 00:26
2024/01/03 00:17	노토 반도	2.5	1	2024/01/03 00:20
2024/01/03 00:13	노토 반도	2.8	2	2024/01/03 00:16
2024/01/03 00:08	이시카와 현 노토 지방	2.7	2	2024/01/03 00:11
2024/01/02 23:53	이시카와 현 노토 지방	2.5	1	2024/01/02 23:55
2024/01/02 23:51	이시카와 현 노토 지방	3.0	1	2024/01/02 23:53
2024/01/02 23:48	노토 반도	2.4	1	2024/01/02 23:51
2024/01/02 23:38	이시카와 현 노토 지방	3.5	1	2024/01/02 23:41
2024/01/02 23:33	노토 반도	2.7	1	2024/01/02 23:36
2024/01/02 23:30	이시카와 현 노토 지방	3.0	1	2024/01/02 23:33
2024/01/02 23:16	노토 반도	3.6	2	2024/01/02 23:20
2024/01/02 23:12	노토 반도	2.9	1	2024/01/02 23:15
2024/01/02 22:50	이시카와 현 노토 지방	3.0	2	2024/01/02 22:53
2024/01/02 22:31	노토 반도	2.8	1	2024/01/02 22:34
2024/01/02 22:26	노토 반도	2.4	1	2024/01/02 22:29
2024/01/02 22:19	이시카와 현 노토 지방	3.3	3	2024/01/02 22:23
2024/01/02 22:04	이시카와 현 노토 지방	3.1	3	2024/01/02 22:07
2024/01/02 22:03	이시카와 현 노토 지방	3.6	2	2024/01/02 22:05
2024/01/02 21:45	이시카와 현 노토 지방	2.6	1	2024/01/02 21:47
2024/01/02 21:42	니가타 현상 주에쓰 오키	3.2	1	2024/01/02 21:45
2024/01/02 21:16	노토 반도	2.6	1	2024/01/02 21:19
2024/01/02 21:13	이시카와 현 노토 지방	4.3	3	2024/01/02 21:17
2024/01/02 21:11	이시카와 현 노토 지방	3.1	1	2024/01/02 21:13
2024/01/02 20:52	이시카와 현 노토 지방	3.7	2	2024/01/02 20:55
2024/01/02 20:42	노토 반도	2.8	1	2024/01/02 20:44
2024/01/02 20:30	이시카와 현 노토 지방	3.3	1	2024/01/02 20:33
2024/01/02 20:19	이시카와 현 노토 지방	2.8	1	2024/01/02 20:22
2024/01/02 20:16	노토 반도	3.7	2	2024/01/02 20:19
2024/01/02 20:13	이시카와 현 노토 지방	3.0	1	2024/01/02 20:15
2024/01/02 20:06	이시카와 현 노토 지방	3.0	1	2024/01/02 20:09
2024/01/02 20:04	노토 반도	3.7	1	2024/01/02 20:07
2024/01/02 19:48	이시카와 현 노토 지방	2.7	1	2024/01/02 19:51
2024/01/02 19:40	노토 반도	2.8	1	2024/01/02 19:43
2024/01/02 19:24	노토 반도	2.8	1	2024/01/02 19:28
2024/01/02 19:18	노토 반도	3.0	2	2024/01/02 19:20
2024/01/02 19:01	이시카와 현 노토 지방	2.7	1	2024/01/02 19:05
2024/01/02 18:59	노토 반도	3.5	2	2024/01/02 19:02
2024/01/02 18:50	사도 부근	4.1	2	2024/01/02 18:53
2024/01/02 18:46	이시카와 현 노토 지방	3.4	2	2024/01/02 18:49
2024/01/02 18:42	이시카와 현 노토 지방	1.9	1	2024/01/02 18:46
2024/01/02 18:38	노토 반도	3.0	1	2024/01/02 18:41
2024/01/02 18:29	이시카와 현 노토 지방	4.3	3	2024/01/02 18:33
2024/01/02 18:25	이시카와 현 노토 지방	3.2	1	2024/01/02 18:29
2024/01/02 18:20	이시가키 섬 근해	4.4	1	2024/01/02 18:23
2024/01/02 18:07	이시카와 현 노토 지방	2.9	2	2024/01/02 18:10
2024/01/02 18:07	와카야마 현 북부	3.1	1	2024/01/02 18:10
2024/01/02 18:03	노토 반도	2.4	1	2024/01/02 18:05
2024/01/02 17:59	이시카와 현 노토 지방	3.1	1	2024/01/02 18:02
2024/01/02 17:56	노토 반도	4.2	2	2024/01/02 17:59
2024/01/02 17:52	사도 부근	4.2	1	2024/01/02 17:55
2024/01/02 17:49	이시카와 현 노토 지방	2.6	1	2024/01/02 17:52
2024/01/02 17:47	노토 반도	2.6	1	2024/01/02 17:50
2024/01/02 17:41	노토 반도	2.7	1	2024/01/02 17:43
2024/01/02 17:23	이시카와 현 노토 지방	2.9	1	2024/01/02 17:26
2024/01/02 17:13	노토 반도	4.6	5+	2024/01/02 17:18
2024/01/02 17:06	이시카와 현 노토 지방	2.7	1	2024/01/02 17:10
2024/01/02 16:59	이시카와 현 노토 지방	2.7	1	2024/01/02 17:01
2024/01/02 16:54	사도 부근	3.8	1	2024/01/02 16:59
2024/01/02 16:49	노토 반도	2.9	2	2024/01/02 16:54
2024/01/02 16:44	사도 부근	2.9	2	2024/01/02 16:51
2024/01/02 16:24	이시카와 현 노토 지방	2.4	1	2024/01/02 16:27
2024/01/02 16:21	노토 반도	2.8	2	2024/01/02 16:25
2024/01/02 16:18	이시카와 현 노토 지방	2.4	1	2024/01/02 16:23
2024/01/02 16:13	노토 반도	2.9	1	2024/01/02 16:18
2024/01/02 16:11	이시카와 현 노토 지방	3.0	1	2024/01/02 16:15
2024/01/02 16:07	이시카와 현 노토 지방	3.1	1	2024/01/02 16:10
2024/01/02 16:01	이시카와 현 노토 지방	2.4	1	2024/01/02 16:05
2024/01/02 15:57	이시카와 현 노토 지방	4.5	4	2024/01/02 16:02
2024/01/02 15:51	이시카와 현 노토 지방	2.8	1	2024/01/02 15:56
2024/01/02 15:45	이시카와 현 노토 지방	2.4	1	2024/01/02 15:48
2024/01/02 15:39	노토 반도	2.9	1	2024/01/02 15:43
2024/01/02 15:35	노토 반도	3.1	3	2024/01/02 15:38
2024/01/02 15:19	이시카와 현 노토 지방	2.7	2	2024/01/02 15:24
2024/01/02 15:10	이시카와 현 노토 지방	2.4	1	2024/01/02 15:13
2024/01/02 15:05	이시카와 현 노토 지방	3.4	1	2024/01/02 15:09
2024/01/02 15:02	사도 부근	4.2	2	2024/01/02 15:07
2024/01/02 15:01	이시카와 현 노토 지방	3.4	3	2024/01/02 15:05
2024/01/02 14:58	이시카와 현 노토 지방	3.2	1	2024/01/02 15:01
2024/01/02 14:50	노토 반도	2.4	1	2024/01/02 14:53
2024/01/02 14:47	노토 반도	2.9	1	2024/01/02 14:49
2024/01/02 14:43	노토 반도	2.8	1	2024/01/02 14:47
2024/01/02 14:37	이시카와 현 노토 지방	3.6	1	2024/01/02 14:42
2024/01/02 14:09	이시카와 현 노토 지방	2.7	1	2024/01/02 14:12
2024/01/02 14:05	이시카와 현 노토 지방	2.7	2	2024/01/02 14:11
2024/01/02 14:04	사도 부근	3.5	1	2024/01/02 14:07
2024/01/02 14:02	노토 반도	4.3	3	2024/01/02 14:05
2024/01/02 13:54	노토 반도	3.1	2	2024/01/02 13:57
2024/01/02 13:50	이시카와 현 노토 지방	3.3	1	2024/01/02 13:52
2024/01/02 13:46	노토 반도	2.6	2	2024/01/02 13:49
2024/01/02 13:41	도야마 만	3.5	2	2024/01/02 13:47
2024/01/02 13:27	노토 반도	2.5	1	2024/01/02 13:30
2024/01/02 13:18	노토 반도	2.7	1	2024/01/02 13:24
2024/01/02 13:11	이시카와 현 노토 지방	2.5	1	2024/01/02 13:16
2024/01/02 13:08	이시카와 현 노토 지방	2.3	1	2024/01/02 13:13
2024/01/02 13:09	노토 반도	3.5	2	2024/01/02 13:11
2024/01/02 13:02	이시카와 현 노토 지방	3.0	1	2024/01/02 13:05
2024/01/02 12:56	이시카와 현 노토 지방	3.6	1	2024/01/02 12:58
2024/01/02 12:48	이시카와 현 노토 지방	3.2	1	2024/01/02 12:50
2024/01/02 12:37	이시카와 현 노토 지방	3.1	2	2024/01/02 12:39
2024/01/02 12:32	노토 반도	2.2	1	2024/01/02 12:36
2024/01/02 11:54	노토 반도	2.8	1	2024/01/02 11:58
2024/01/02 11:51	니가타 현상 주에쓰 오키	3.9	1	2024/01/02 11:54
2024/01/02 11:49	이시카와 현 노토 지방	2.9	1	2024/01/02 11:52
2024/01/02 11:42	노토 반도	3.7	2	2024/01/02 11:44
2024/01/02 11:38	니가타 현상 주에쓰 오키	3.2	1	2024/01/02 11:42
2024/01/02 11:34	이시카와 현 노토 지방	2.5	1	2024/01/02 11:38
2024/01/02 11:19	이시카와 현 서방 바다	4.1	3	2024/01/02 11:23
2024/01/02 11:16	이시카와 현 노토 지방	3.7	3	2024/01/02 11:19
2024/01/02 11:12	노토 반도	3.2	1	2024/01/02 11:15
2024/01/02 11:05	이시카와 현 노토 지방	4.1	3	2024/01/02 11:12
2024/01/02 11:04	이시카와 현 노토 지방	3.7	3	2024/01/02 11:09
2024/01/02 10:52	이시카와 현 노토 지방	2.9	1	2024/01/02 10:56
2024/01/02 10:33	노토 반도	2.9	1	2024/01/02 10:35
2024/01/02 10:28	이시카와 현 노토 지방	2.8	2	2024/01/02 10:32
2024/01/02 10:25	이시카와 현 노토 지방	3.0	1	2024/01/02 10:28
2024/01/02 10:17	이시카와 현 노토 지방	5.6	5-	2024/01/02 10:23
2024/01/02 09:14	이시카와 현 노토 지방	4.7	4	2024/01/02 09:17
2024/01/02 09:01	노토 반도	3.9	4	2024/01/02 09:04
2024/01/02 08:57	노토 반도	2.8	2	2024/01/02 09:00
2024/01/02 08:48	이시카와 현 노토 지방	2.9	2	2024/01/02 08:50
2024/01/02 08:42	이시카와 현 노토 지방	3.9	2	2024/01/02 08:44
2024/01/02 08:35	이시카와 현 노토 지방	3.4	2	2024/01/02 08:38
2024/01/02 08:21	이시카와 현 노토 지방	3.6	2	2024/01/02 08:23
2024/01/02 08:15	사도 부근	3.6	3	2024/01/02 08:18
2024/01/02 08:00	이시카와 현 노토 지방	2.8	3	2024/01/02 08:04
2024/01/02 07:43	이시카와 현 노토 지방	3.2	2	2024/01/02 07:46
2024/01/02 07:40	노토 반도	3.5	2	2024/01/02 07:43
2024/01/02 07:37	이시카와 현 노토 지방	4.3	3	2024/01/02 07:40
2024/01/02 07:27	이시카와 현 노토 지방	4.3	3	2024/01/02 07:29
2024/01/02 07:13	이시카와 현 노토 지방	4.7	4	2024/01/02 07:16
2024/01/02 07:09	이시카와 현 노토 지방	3.6	3	2024/01/02 07:11
2024/01/02 06:53	니가타 현상 주에쓰 오키	4.2	2	2024/01/02 06:56
2024/01/02 06:47	이와테 현 바다	3.1	1	2024/01/02 06:53
2024/01/02 06:48	노토 반도	3.8	2	2024/01/02 06:51
2024/01/02 06:34	이시카와 현 노토 지방	4.2	3	2024/01/02 06:37
2024/01/02 06:30	이시카와 현 노토 지방	3.6	2	2024/01/02 06:33
2024/01/02 06:13	노토 반도	3.0	3	2024/01/02 06:15
2024/01/02 05:56	이시카와 현 노토 지방	3.9	2	2024/01/02 05:59
2024/01/02 05:21	이시카와 현 노토 지방	3.6	3	2024/01/02 05:25
2024/01/02 05:17	이시카와 현 노토 지방	3.2	2	2024/01/02 05:21
2024/01/02 05:12	노토 반도	2.7	3	2024/01/02 05:17
2024/01/02 05:03	이시카와 현 노토 지방	3.9	2	2024/01/02 05:06
2024/01/02 04:55	이시카와 현 노토 지방	3.5	2	2024/01/02 04:58
2024/01/02 04:50	이시카와 현 노토 지방	3.9	2	2024/01/02 04:53
2024/01/02 04:42	노토 반도	4.9	4	2024/01/02 04:45
2024/01/02 04:27	노토 반도	4.7	3	2024/01/02 04:30
2024/01/02 04:05	노토 반도	4.0	3	2024/01/02 04:08
2024/01/02 04:02	이시카와 현 노토 지방	4.0	2	2024/01/02 04:05
2024/01/02 03:54	노토 반도	3.5	2	2024/01/02 03:58
2024/01/02 03:47	이시카와 현 노토 지방	3.7	3	2024/01/02 03:50
2024/01/02 03:34	이시카와 현 노토 지방	3.9	3	2024/01/02 03:36
2024/01/02 03:29	이시카와 현 노토 지방	4.0	4	2024/01/02 03:32
2024/01/02 03:23	이시카와 현 노토 지방	3.0	2	2024/01/02 03:26
2024/01/02 03:20	이시카와 현 노토 지방	2.9	2	2024/01/02 03:24
2024/01/02 03:10	노토 반도	2.9	2	2024/01/02 03:13
2024/01/02 03:06	이시카와 현 노토 지방	3.2	2	2024/01/02 03:08
2024/01/02 03:02	노토 반도	3.8	2	2024/01/02 03:05
2024/01/02 02:52	이시카와 현 노토 지방	4.2	3	2024/01/02 02:55
2024/01/02 02:48	사도 부근	4.3	2	2024/01/02 02:51
2024/01/02 02:33	니가타 현상 주에쓰 오키	4.6	3	2024/01/02 02:37
2024/01/02 02:30	이시카와 현 노토 지방	3.7	2	2024/01/02 02:33
2024/01/02 02:18	이시카와 현 노토 지방	3.2	3	2024/01/02 02:21
2024/01/02 02:07	노토 반도	3.7	2	2024/01/02 02:09
2024/01/02 02:00	이시카와 현 노토 지방	3.5	2	2024/01/02 02:03
2024/01/02 01:59	이시카와 현 노토 지방	3.3	2	2024/01/02 02:01
2024/01/02 01:55	이시카와 현 노토 지방	3.9	2	2024/01/02 01:58
2024/01/02 01:53	아마미오 섬 근해	3.2	1	2024/01/02 01:56
2024/01/02 01:43	노토 반도	4.4	2	2024/01/02 01:46
2024/01/02 01:42	사도 부근	4.2	2	2024/01/02 01:45
2024/01/02 01:34	사도 부근	3.9	2	2024/01/02 01:38
2024/01/02 01:29	이시카와 현 노토 지방	3.5	2	2024/01/02 01:32
2024/01/02 01:20	이시카와 현 노토 지방	3.0	3	2024/01/02 01:24
2024/01/02 01:15	이시카와 현 노토 지방	3.7	2	2024/01/02 01:19
2024/01/02 01:01	이시카와 현 노토 지방	3.6	3	2024/01/02 01:04
2024/01/02 00:57	이시카와 현 노토 지방	3.5	3	2024/01/02 00:59
2024/01/02 00:52	노토 반도	3.4	2	2024/01/02 00:57
2024/01/02 00:24	이시카와 현 노토 지방	3.7	2	2024/01/02 00:27
2024/01/02 00:13	도야마 만	3.4	2	2024/01/02 00:16
2024/01/02 00:08	이시카와 현 노토 지방	4.5	4	2024/01/02 00:11
2024/01/02 00:01	이시카와 현 노토 지방	3.3	2	2024/01/02 00:04
2024/01/01 23:58	노토 반도	3.7	3	2024/01/02 00:01
2024/01/01 23:50	이시카와 현 노토 지방	3.7	3	2024/01/01 23:53
2024/01/01 23:30	이시카와 현 노토 지방	4.3	4	2024/01/01 23:43
2024/01/01 23:19	노토 반도	4.2	3	2024/01/01 23:22
2024/01/01 23:03	사도 부근	4.6	3	2024/01/01 23:14
2024/01/01 23:01	이시카와 현 노토 지방	3.7	2	2024/01/01 23:03
2024/01/01 22:50	사도 부근	4.0	3	2024/01/01 22:54
2024/01/01 22:36	니가타 현상 주에쓰 오키	3.7	2	2024/01/01 22:39
2024/01/01 22:30	노토 반도	3.0	3	2024/01/01 22:34
2024/01/01 22:28	노토 반도	3.8	2	2024/01/01 22:31
2024/01/01 22:17	사도 부근	3.8	2	2024/01/01 22:20
2024/01/01 22:14	이시카와 현 노토 지방	3.6	2	2024/01/01 22:18
2024/01/01 22:11	이시카와 현 노토 지방	4.6	3	2024/01/01 22:13
2024/01/01 22:06	노토 반도	3.3	2	2024/01/01 22:09
2024/01/01 22:02	이시카와 현 노토 지방	3.5	3	2024/01/01 22:06
2024/01/01 21:54	노토 반도	4.2	3	2024/01/01 21:57
2024/01/01 21:48	사도 부근	4.3	2	2024/01/01 21:51
2024/01/01 21:41	노토 반도	3.9	2	2024/01/01 21:44
2024/01/01 21:40	사도 부근	3.5	2	2024/01/01 21:43
2024/01/01 21:38	이시카와 현 노토 지방	3.3	2	2024/01/01 21:41
